type,sex,version,Age,60m,100m,200m,400m,800m,1000m,1500m,1 mile,3000m,5000m,10000m
track,female,2023,23,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,24,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,25,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,26,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,27,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,28,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,29,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,30,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,31,6.92,10.49,21.34,47.6,113.28,148.98,229.04,247.64,486.11,840.21,1734.14
track,female,2023,32,6.92,10.49,21.38,47.6,113.28,148.98,229.04,247.78,486.11,840.21,1734.14
track,female,2023,33,6.92,10.49,21.51,47.83,113.28,148.98,229.66,249.23,486.11,840.21,1734.14
track,female,2023,34,6.92,10.49,21.65,48.14,113.28,148.98,231.09,250.74,486.11,840.21,1738.83
track,female,2023,35,6.92,10.49,21.79,48.45,113.67,149.02,232.55,252.28,486.45,840.21,1752.18
track,female,2023,36,6.95,10.56,21.93,48.76,114.57,150.13,234.04,253.83,489.93,840.21,1765.56
track,female,2023,37,6.98,10.63,22.07,49.07,115.47,151.26,235.56,255.43,493.46,845.02,1779.15
track,female,2023,38,7.02,10.7,22.21,49.39,116.39,152.39,237.1,257.07,497.04,851.88,1792.94
track,female,2023,39,7.05,10.77,22.36,49.71,117.31,153.55,238.68,258.73,500.73,858.93,1806.96
track,female,2023,40,7.08,10.85,22.5,50.03,118.24,154.72,240.28,260.42,504.47,866.1,1821
track,female,2023,41,7.12,10.92,22.65,50.36,119.19,155.9,241.9,262.19,508.27,873.3,1835.26
track,female,2023,42,7.15,10.99,22.79,50.69,120.13,157.1,243.58,263.98,512.17,880.72,1849.74
track,female,2023,43,7.19,11.07,22.94,51.02,121.1,158.3,245.27,265.79,516.09,888.17,1864.46
track,female,2023,44,7.22,11.14,23.09,51.35,122.08,159.54,247.02,267.66,520.18,895.74,1879.21
track,female,2023,45,7.26,11.22,23.24,51.69,123.06,160.78,248.79,269.55,524.27,903.54,1894.19
track,female,2023,46,7.3,11.3,23.39,52.03,124.04,162.04,250.59,271.5,528.43,911.38,1909.42
track,female,2023,47,7.33,11.37,23.55,52.37,125.04,163.31,252.44,273.48,532.72,919.36,1924.89
track,female,2023,48,7.37,11.45,23.7,52.72,126.06,164.6,254.31,275.52,537.07,927.48,1940.4
